UserID,groupNum,senario,BallRatio,OtherColorBallRatio,groupsize,RelativeMajorityPercentage,RelativeMajority,jar,LotteryCardColor,signal,decision,TestDecision,GeneratedPassword
1,1,1,55,45,5,50,3,1,,,,,
2,1,1,55,45,5,50,3,1,,,,,
3,1,1,55,45,5,50,3,1,,,,,
4,1,1,55,45,5,50,3,1,,,,,
5,1,1,55,45,5,50,3,1,,,,,
6,2,1,55,45,5,50,3,1,,,,,
7,2,1,55,45,5,50,3,1,,,,,
8,2,1,55,45,5,50,3,1,,,,,
9,2,1,55,45,5,50,3,1,,,,,
10,2,1,55,45,5,50,3,1,,,,,
11,3,1,55,45,5,50,3,1,,,,,
12,3,1,55,45,5,50,3,1,,,,,
13,3,1,55,45,5,50,3,1,,,,,
14,3,1,55,45,5,50,3,1,,,,,
15,3,1,55,45,5,50,3,1,,,,,
16,4,1,55,45,5,50,3,2,,,,,
17,4,1,55,45,5,50,3,2,,,,,
18,4,1,55,45,5,50,3,2,,,,,
19,4,1,55,45,5,50,3,2,,,,,
20,4,1,55,45,5,50,3,2,,,,,
21,5,1,55,45,5,50,3,1,,,,,
22,5,1,55,45,5,50,3,1,,,,,
23,5,1,55,45,5,50,3,1,,,,,
24,5,1,55,45,5,50,3,1,,,,,
25,5,1,55,45,5,50,3,1,,,,,
26,6,1,55,45,5,80,4,2,,,,,
27,6,1,55,45,5,80,4,2,,,,,
28,6,1,55,45,5,80,4,2,,,,,
29,6,1,55,45,5,80,4,2,,,,,
30,6,1,55,45,5,80,4,2,,,,,
31,7,1,55,45,5,80,4,2,,,,,
32,7,1,55,45,5,80,4,2,,,,,
33,7,1,55,45,5,80,4,2,,,,,
34,7,1,55,45,5,80,4,2,,,,,
35,7,1,55,45,5,80,4,2,,,,,
36,8,1,55,45,5,80,4,2,,,,,
37,8,1,55,45,5,80,4,2,,,,,
38,8,1,55,45,5,80,4,2,,,,,
39,8,1,55,45,5,80,4,2,,,,,
40,8,1,55,45,5,80,4,2,,,,,
41,9,1,55,45,5,80,4,2,,,,,
42,9,1,55,45,5,80,4,2,,,,,
43,9,1,55,45,5,80,4,2,,,,,
44,9,1,55,45,5,80,4,2,,,,,
45,9,1,55,45,5,80,4,2,,,,,
46,10,1,55,45,5,80,4,1,,,,,
47,10,1,55,45,5,80,4,1,,,,,
48,10,1,55,45,5,80,4,1,,,,,
49,10,1,55,45,5,80,4,1,,,,,
50,10,1,55,45,5,80,4,1,,,,,
51,11,1,85,15,5,50,3,1,,,,,
52,11,1,85,15,5,50,3,1,,,,,
53,11,1,85,15,5,50,3,1,,,,,
54,11,1,85,15,5,50,3,1,,,,,
55,11,1,85,15,5,50,3,1,,,,,
56,12,1,85,15,5,50,3,2,,,,,
57,12,1,85,15,5,50,3,2,,,,,
58,12,1,85,15,5,50,3,2,,,,,
59,12,1,85,15,5,50,3,2,,,,,
60,12,1,85,15,5,50,3,2,,,,,
61,13,1,85,15,5,50,3,1,,,,,
62,13,1,85,15,5,50,3,1,,,,,
63,13,1,85,15,5,50,3,1,,,,,
64,13,1,85,15,5,50,3,1,,,,,
65,13,1,85,15,5,50,3,1,,,,,
66,14,1,85,15,5,50,3,1,,,,,
67,14,1,85,15,5,50,3,1,,,,,
68,14,1,85,15,5,50,3,1,,,,,
69,14,1,85,15,5,50,3,1,,,,,
70,14,1,85,15,5,50,3,1,,,,,
71,15,1,85,15,5,50,3,2,,,,,
72,15,1,85,15,5,50,3,2,,,,,
73,15,1,85,15,5,50,3,2,,,,,
74,15,1,85,15,5,50,3,2,,,,,
75,15,1,85,15,5,50,3,2,,,,,
76,16,1,85,15,5,80,4,2,,,,,
77,16,1,85,15,5,80,4,2,,,,,
78,16,1,85,15,5,80,4,2,,,,,
79,16,1,85,15,5,80,4,2,,,,,
80,16,1,85,15,5,80,4,2,,,,,
81,17,1,85,15,5,80,4,2,,,,,
82,17,1,85,15,5,80,4,2,,,,,
83,17,1,85,15,5,80,4,2,,,,,
84,17,1,85,15,5,80,4,2,,,,,
85,17,1,85,15,5,80,4,2,,,,,
86,18,1,85,15,5,80,4,1,,,,,
87,18,1,85,15,5,80,4,1,,,,,
88,18,1,85,15,5,80,4,1,,,,,
89,18,1,85,15,5,80,4,1,,,,,
90,18,1,85,15,5,80,4,1,,,,,
91,19,1,85,15,5,80,4,2,,,,,
92,19,1,85,15,5,80,4,2,,,,,
93,19,1,85,15,5,80,4,2,,,,,
94,19,1,85,15,5,80,4,2,,,,,
95,19,1,85,15,5,80,4,2,,,,,
96,20,1,85,15,5,80,4,1,,,,,
97,20,1,85,15,5,80,4,1,,,,,
98,20,1,85,15,5,80,4,1,,,,,
99,20,1,85,15,5,80,4,1,,,,,
100,20,1,85,15,5,80,4,1,,,,,
101,21,1,55,45,25,50,13,1,,,,,
102,21,1,55,45,25,50,13,1,,,,,
103,21,1,55,45,25,50,13,1,,,,,
104,21,1,55,45,25,50,13,1,,,,,
105,21,1,55,45,25,50,13,1,,,,,
106,21,1,55,45,25,50,13,1,,,,,
107,21,1,55,45,25,50,13,1,,,,,
108,21,1,55,45,25,50,13,1,,,,,
109,21,1,55,45,25,50,13,1,,,,,
110,21,1,55,45,25,50,13,1,,,,,
111,21,1,55,45,25,50,13,1,,,,,
112,21,1,55,45,25,50,13,1,,,,,
113,21,1,55,45,25,50,13,1,,,,,
114,21,1,55,45,25,50,13,1,,,,,
115,21,1,55,45,25,50,13,1,,,,,
116,21,1,55,45,25,50,13,1,,,,,
117,21,1,55,45,25,50,13,1,,,,,
118,21,1,55,45,25,50,13,1,,,,,
119,21,1,55,45,25,50,13,1,,,,,
120,21,1,55,45,25,50,13,1,,,,,
121,21,1,55,45,25,50,13,1,,,,,
122,21,1,55,45,25,50,13,1,,,,,
123,21,1,55,45,25,50,13,1,,,,,
124,21,1,55,45,25,50,13,1,,,,,
125,21,1,55,45,25,50,13,1,,,,,
126,22,1,55,45,25,80,20,2,,,,,
127,22,1,55,45,25,80,20,2,,,,,
128,22,1,55,45,25,80,20,2,,,,,
129,22,1,55,45,25,80,20,2,,,,,
130,22,1,55,45,25,80,20,2,,,,,
131,22,1,55,45,25,80,20,2,,,,,
132,22,1,55,45,25,80,20,2,,,,,
133,22,1,55,45,25,80,20,2,,,,,
134,22,1,55,45,25,80,20,2,,,,,
135,22,1,55,45,25,80,20,2,,,,,
136,22,1,55,45,25,80,20,2,,,,,
137,22,1,55,45,25,80,20,2,,,,,
138,22,1,55,45,25,80,20,2,,,,,
139,22,1,55,45,25,80,20,2,,,,,
140,22,1,55,45,25,80,20,2,,,,,
141,22,1,55,45,25,80,20,2,,,,,
142,22,1,55,45,25,80,20,2,,,,,
143,22,1,55,45,25,80,20,2,,,,,
